"","mun","year","Nombre municipio","Departamento","presencia","Guerrilla","Paramilitaries","Disputa"
"6032",25599,2002,"Apulo","Cundinamarca",1,1,0,0
"6033",25612,2002,"Ricaurte","Cundinamarca",0,0,0,0
"6034",25645,2002,"San Antonio Del Tequendama","Cundinamarca",0,0,0,0
"6035",25649,2002,"San Bernardo","Cundinamarca",1,1,0,0
"6036",25653,2002,"San Cayetano","Cundinamarca",3,1,1,1
"6037",25658,2002,"San Francisco","Cundinamarca",1,1,0,0
"6038",25662,2002,"San Juan De Río Seco","Cundinamarca",1,1,0,0
"6039",25718,2002,"Sasaima","Cundinamarca",1,1,0,0
"6040",25736,2002,"Sesquilé","Cundinamarca",0,0,0,0
"6041",25740,2002,"Sibaté","Cundinamarca",1,1,0,0
"6042",25743,2002,"Silvania","Cundinamarca",1,1,0,0
"6043",25745,2002,"Simijaca","Cundinamarca",0,0,0,0
"6044",25754,2002,"Soacha","Cundinamarca",3,1,1,1
"6045",25758,2002,"Sopó","Cundinamarca",0,0,0,0
"6046",25769,2002,"Subachoque","Cundinamarca",0,0,0,0
"6047",25772,2002,"Suesca","Cundinamarca",0,0,0,0
"6048",25777,2002,"Supatá","Cundinamarca",0,0,0,0
"6049",25779,2002,"Susa","Cundinamarca",0,0,0,0
"6050",25781,2002,"Sutatausa","Cundinamarca",0,0,0,0
"6051",25785,2002,"Tabio","Cundinamarca",0,0,0,0
"6052",25793,2002,"Tausa","Cundinamarca",1,1,0,0
"6053",25797,2002,"Tena","Cundinamarca",0,0,0,0
"6054",25799,2002,"Tenjo","Cundinamarca",3,1,1,1
"6055",25805,2002,"Tibacuy","Cundinamarca",1,1,0,0
"6056",25807,2002,"Tibirita","Cundinamarca",0,0,0,0
"6057",25815,2002,"Tocaima","Cundinamarca",3,1,1,1
"6058",25817,2002,"Tocancipá","Cundinamarca",0,0,0,0
"6059",25823,2002,"Topaipí","Cundinamarca",3,1,1,1
"6060",25839,2002,"Ubalá","Cundinamarca",3,1,1,1
