mun,year,FARC,ELN,AUC,Guerrilla,Paramilitaries
27430,1989,0,0,0,0,0
27450,1989,0,0,0,0,0
27491,1989,0,0,0,0,0
27495,1989,0,0,0,0,0
27580,1989,0,0,0,0,0
27600,1989,0,0,0,0,0
27615,1989,0,0,0,0,0
27660,1989,0,0,0,0,0
27745,1989,0,0,0,0,0
27787,1989,0,0,0,0,0
27800,1989,0,0,0,0,0
27810,1989,0,0,0,0,0
41001,1989,0,0,0,0,0
41006,1989,0,0,0,0,0
41013,1989,0,0,0,0,0
41016,1989,0,0,0,0,0
41020,1989,0,0,0,0,0
41026,1989,0,0,0,0,0
41078,1989,0,0,0,0,0
41132,1989,0,0,0,0,0
41206,1989,0,0,0,0,0
41244,1989,0,0,0,0,0
41298,1989,0,0,0,0,0
41306,1989,0,0,0,0,0
41319,1989,0,0,0,0,0
41349,1989,0,0,0,0,0
41357,1989,0,0,0,0,0
41359,1989,0,0,0,0,0
41378,1989,0,0,0,0,0
41396,1989,0,0,0,0,0
41483,1989,0,0,0,0,0
41503,1989,0,0,0,0,0
41518,1989,0,0,0,0,0
41524,1989,0,0,0,0,0
41530,1989,0,0,0,0,0
41548,1989,0,0,0,0,0
41551,1989,0,0,0,0,0
41615,1989,0,0,0,0,0
41660,1989,0,0,0,0,0
41668,1989,0,0,0,0,0
41676,1989,0,0,0,0,0
41770,1989,0,0,0,0,0
41791,1989,0,0,0,0,0
41797,1989,0,0,0,0,0
41799,1989,0,0,0,0,0
41801,1989,0,0,0,0,0
41807,1989,0,0,0,0,0
41872,1989,0,0,0,0,0
41885,1989,0,0,0,0,0
44001,1989,0,0,0,0,0
44035,1989,0,0,0,0,0
44078,1989,0,0,0,0,0
44090,1989,0,0,0,0,0
44098,1989,0,0,0,0,0
44110,1989,0,0,0,0,0
44279,1989,0,0,0,0,0
44378,1989,0,0,0,0,0
44420,1989,0,0,0,0,0
44430,1989,0,0,0,0,0
44560,1989,0,0,0,0,0
44650,1989,0,0,0,0,0
44847,1989,0,0,0,0,0
44855,1989,0,0,0,0,0
44874,1989,0,0,0,0,0
47001,1989,0,0,0,0,0
47030,1989,0,0,0,0,0
47053,1989,0,0,0,0,0
47058,1989,0,0,0,0,0
47161,1989,0,0,0,0,0
47170,1989,0,0,0,0,0
47189,1989,0,0,0,0,0
47205,1989,0,0,0,0,0
47245,1989,0,0,0,0,0
47258,1989,0,0,0,0,0
47268,1989,0,0,0,0,0
47288,1989,0,0,0,0,0
