"";"mun";"year";"Paramilitaries_VI";"Paramilitaries_CD";"Paramilitaries_CL";"Paramilitaries_IN";"Paramilitaries_RE";"Paramilitaries_UC";"Paramilitaries_All";"Guerrilla_VI";"Guerrilla_CD";"Guerrilla_CL";"Guerrilla_RE";"Guerrilla_UC";"Guerrilla_All";"FARC_VI";"FARC_CD";"FARC_RC";"FARC_RE";"FARC_UC";"FARC_All";"ELN_VI";"ELN_CD";"ELN_RC";"ELN_UC";"ELN_All";"AUC_VI";"AUC_CD";"AUC_RC";"AUC_RE";"AUC_UC";"AUC_All"
"133";5030;1996;0;1;NA;NA;1;0;1;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;1;0;NA;0;1
"134";5030;1997;0;1;0;NA;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;1;0;0;0;1
"135";5030;1998;0;1;0;NA;0;0;1;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"136";5030;1999;0;1;1;NA;1;0;1;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"137";5030;2000;0;1;1;NA;1;1;1;0;1;0;1;0;1;0;0;0;0;0;0;0;1;NA;0;1;1;1;0;0;1;1
"138";5030;2001;1;1;1;NA;1;1;1;1;1;1;1;0;1;1;0;0;0;0;0;1;1;0;0;1;1;1;0;1;1;1
"139";5030;2002;0;1;0;NA;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;NA;1;0;1
"140";5030;2003;0;1;0;NA;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1
"141";5030;2004;0;1;0;NA;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;1;0;1;0;1
"142";5030;2005;0;1;0;NA;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;1;0;1;0;1
"143";5030;2006;0;0;NA;NA;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0
"144";5030;2007;0;0;NA;NA;0;0;0;0;0;NA;1;0;1;0;0;0;0;0;0;0;0;NA;0;0;0;0;NA;0;0;0
"145";5030;2008;0;0;NA;0;0;0;0;0;0;NA;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0
"146";5030;2009;0;0;NA;1;0;0;1;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;NA;0;0;0
"147";5030;2010;0;0;NA;0;0;0;0;0;1;NA;0;0;1;0;1;NA;0;0;1;0;0;0;0;0;0;0;NA;0;0;0
"148";5030;2011;0;1;NA;1;NA;0;1;0;1;NA;NA;0;1;0;1;0;NA;0;1;0;1;NA;0;1;0;1;NA;NA;0;1
"149";5030;2012;0;1;NA;1;NA;0;1;0;1;NA;NA;0;1;0;1;0;NA;0;1;0;1;NA;0;1;0;1;NA;NA;0;1
"150";5030;2013;0;1;NA;NA;NA;0;1;0;1;NA;NA;0;1;0;0;NA;NA;0;0;0;1;NA;0;1;0;1;NA;NA;0;1
"151";5030;2014;0;1;NA;1;NA;0;1;0;1;NA;NA;0;1;0;0;NA;NA;0;0;0;1;NA;0;1;0;1;NA;NA;0;1
